NAME,APPROX_COST(FOR TWO PEOPLE) ($),RATE,DISH_LIKED,ONLINE_ORDER,BOOK_TABLE
Chai Galli,450,4.4 out of 5,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie",1,0
Sukh Sagar,500,3.8 out of 5,"Pav Bhaji, Panneer Butter Masala, Deluxe Thali, Tea, Panipuri, Chaat, Masala Dosa",1,0
Barbeque Delight,800,3.8 out of 5,"Tandoori Chicken, Paratha",1,0
Sherlock's Pub,"1,300",3.9 out of 5,"Mai Thai, Cocktails, Tiramisu Martini, Beer, Chilli Chicken, Beef Chilli, Long Island Iced Tea",0,1
Fabindia Cafe,200,4.2 out of 5,"Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha",0,0
Popsies,750,3.9 out of 5,"Momos, Chilli Chicken, Chicken Manchow Soup, Spicy Chicken Wings, Thukpa, Chicken Noodle, Tai Pai Chicken",1,0
Tetto,"1,200",3.7 out of 5,"Burgers, Cocktails, Mushroom Nuggets, Draught Beer, Fish Fingers",1,0
The Arabesque Cafe,600,4.1 out of 5,"Onion Rings, Triple Schezwan",0,0
Over The Top Terrace Lounge,"1,400",3.9 out of 5,"Nachos, Pasta, Cocktails, Khamiri Roti, Beer, Lamb, Burgers",0,1
Meenu Oota Da Maane,800,4.2 out of 5,"Sea Food, Neer Dosa, Fish Curry, Chicken Thali, Crab Ghee Roast, Squid Ghee Roast, Murgh Ghee Roast",1,1
Bangaliana,600,3.9 out of 5,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",1,0
PagalKhana,"1,000",3.8 out of 5,"Mocktails, Pasta, Wood Fire Pizza, Paneer Malai Tikka, French Fries, Nachos, Burgers",1,1
7 Plates,750,3.7 out of 5,"Butter Kulcha, Rolls, Brownie, Mutton Biryani, Butter Chicken, Shawarma, Rumali Roti",1,0
Aalishan Restaurant & Caterer,650,3.5 out of 5,"Rolls, Tandoori Murgh Masala, Legendary Arsalan, Firni, Phirni, Mutton Biryani, Chicken Roll",1,0
Terra Bites,700,4.0 out of 5,"Spaghetti, Hot Chocolate, Coffee, Tea",1,0
Tandoor Hut,700,4.1 out of 5,"Biryani, Tandoori Chicken, Panneer Butter Masala, Naan, Mutton Roganjosh, Lassi, Chicken Tikka Masala",1,0
Pingara,600,3.8 out of 5,"Sea Food, Beer, Fish Thali, Fish Fry, Chicken Tikka, Neer Dosa",1,0
Vitamin Palace,650,4.1 out of 5,"Watermelon Juice, Burgers, Pasta, Faluda, Fruit Salad, Coffee, Sandwich",0,0
Axomi - Taste of Assam,500,4.1 out of 5,"Thali, Duck Curry, Fish, Brinjal Fry, Aloo Pitika, Chicken Curry, Lime Soda",1,0
Hakka Chinese Restaurant,600,3.9 out of 5,"Manchow Soup, Momos, Chicken Hakka Noodles, Chilli Chicken, Roast Chicken, Thai Wings, Malaysian Noodles",1,0
Lazeez,600,3.1 out of 5,"Biryani, Rolls, Firni, Chicken Roll, Mutton Pasanda, Mutton Rezala, Phirni",1,0
Saara's Cafe - SS Lumina Hotel,800,4.2 out of 5,"Baklava, Mutton Biryani, Salad, Rice Pudding, Jeera Rice, Fish, Panneer Butter Masala",0,1
Purani Dilli By Anand Sweets,500,4.1 out of 5,"Chaat, Thali, Chole Bhature, Kulfi, Paneer Tikka, Lassi, Badam Milk",1,0
Saara's Grill n Spice - SS Lumina Hotel,"1,000",4.3 out of 5,"Baklava, Chicken Wings, Mutton Biryani, Pizza, Vegetable Biryani, Arabic Cuisine, Salad",0,1
WTF,600,4.1 out of 5,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake",1,0
The Yogisthaan Cafe,600,4.1 out of 5,"Paratha, Chai, Poha, Quinoa Burger",1,0
Aami Bangali,700,3.6 out of 5,"Basanti Pulao, Fish, Aloo Posto, Thali, Daab Chingri",1,0
12th Main - Grand Mercure,"2,000",4.1 out of 5,"Halwa, Waffles, Chaat, Pasta, Coffee, Creme Brulee, Salads",0,1
Billionaires Cafe,600,3.8 out of 5,Friendly Staff,0,0
Shree Thali,150,4.1 out of 5,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",0,0
Paratha Plaza,250,3.9 out of 5,"Dum Aloo, Sweet Lassi, Aloo Paratha, Biryani",0,0
Mustard Food Court,500,3.6 out of 5,"Chicken Biryani, Chicken Wings, Chicken Curry, Kadhai Paneer, Butter Chicken, Noodles, Vegetable Biryani",1,0
Taj Darbar,600,3.8 out of 5,"Chicken Kebab Biryani, Rolls, Raita",1,0
Cafemoto,800,4.0 out of 5,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta",1,0
Fandom at Gilly's Redefined,"1,500",3.9 out of 5,"Onion Rings, French Fries",0,0
Haji Ali Juice Centre,350,4.0 out of 5,"Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich",1,0
Mars Chicken Delight,500,3.7 out of 5,"Biryani, Pudina Chicken, Kalmi Kebab, Chicken Kebab, Chicken Delight, Butter Chicken, Chicken Roll",0,0
Kebarbiq,800,4.0 out of 5,"Burgers, Pulpy Grape Juice, Chicken Wings, Pita Bread, Chicken Grill, Fish Grill, French Fries",0,0
Cafe Coffee Day The Lounge,650,3.6 out of 5,"Fries, Nachos, Burgers",1,0
Thalassery Restaurant,600,3.6 out of 5,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food",1,0
Namaste Kitchen,550,3.8 out of 5,"Jalebi, Chaat, Dal Makhani, Tandoori Roti",1,0
Smokey Tribe Restaurant,650,3.8 out of 5,"Beer, Mashed Potato, Pork Thali, Pork Curry, Smoked Pork, Veg Thali",1,0
Tella Tales,700,4.2 out of 5,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries",1,0
Grills And Tandoor,900,3.7 out of 5,"Chicken Grill, Biryani, Shahi Tukda, Chop Suey, Barbeque Chicken, Naan, Fish",1,1
Punjabi Chulha,500,3.8 out of 5,"Tandoori Chicken, Dal Makhani, Butter Chicken, Roti, Veg Thali",1,0
Momo Rice Noodles,600,3.8 out of 5,"Momos, Noodles, Dragon Chicken, Chicken Manchurian, Wonton Soup, Chilli Chicken",1,0
The Paramount Hotel,"1,000",3.6 out of 5,"Chicken Grill, Biryani, Shawarma",1,0
Gam's Delicacy,800,4.2 out of 5,"Fish, Veg Thali, Bamboo Shoot Pork, Pork Fry, Kheer, Pork Thali, Clear Soup",1,1
A2B - Adyar Ananda Bhavan,400,2.7 out of 5,"Filter Coffee, Masala Dosa, Pongal, Pav Bhaji, Badam Milk, Thali",1,0
Mast Kalandar,450,2.5 out of 5,"Rajma Chawal, Khichda, Gulab Jamun, Paratha, Dal Makhani, Lassi, Paneer Tikka",0,0
Helloo Delhi,"1,000",4.1 out of 5,"Rasmalai, Murgh Lababdar, Kadai Paneer, Dal Makhani, Fish, Jal-jeera, Lassi",1,1
Barcode,"1,300",3.8 out of 5,"Prawn, French Fries, Draught Beer, Biryani",0,1
Flavor of Tibet,500,4.0 out of 5,"Noodles, Chicken Manchow Soup, Veg Momos",0,0
Maria's Goan Kitchen,750,4.0 out of 5,"Goan Thali, Sol Kadhi, Prawn, Pork Vindaloo, Plain Rice, Fish, Beef Fry",1,0
TRIGEREATO,700,4.4 out of 5,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza",1,1
Shaap,500,3.6 out of 5,"Appam, Kappa Biryani, Chicken Fry, Kallappam, Buttermilk, Beef Fry, Paratha",1,0
Cafe On The Way,500,4.0 out of 5,"Waffles, Coffee, Pesto Sandwich, Hazelnut Cappuccino, Latte, Salads, Pasta",1,0
Hotel Food Lands,700,3.8 out of 5,"Sea Food, Biryani, Anjal Tava Fry",1,0
Elmas Restaurant,650,3.4 out of 5,Rooftop Ambience,1,0
Dhuaan,800,4.3 out of 5,"Paneer Pizza, Onion Rings, Oreo Shake, Peri Peri Chicken Pizza, Maggi, Pasta",0,0
Urban Spoon Buffet Restaurant,"1,000",3.5 out of 5,Courteous Staff,0,1
Momoz,600,3.9 out of 5,"Noodles, Thukpa, Chop Suey, Chicken Momo, Cheese Momos, Sweet Corn Soup, Prawn",0,0
Barbeque Station,700,2.8 out of 5,"Biryani, Butter Naan",1,0
Vasudev Adiga's,250,2.8 out of 5,"Filter Coffee, Mysore Masala Dosa, Buttermilk, Idli, Rava Dosa, Neer Dosa, Thali",0,0
Silsila,800,2.7 out of 5,Paratha,0,0
Delicacy,500,3.9 out of 5,"Noodles, Momos, Chicken Manchow Soup, Chicken Noodle, Prawn, Chicken Honey, Thai Rice",1,0
Loca Moca,600,3.7 out of 5,"Coffee, Hazelnut Cappuccino, Chicken Keema Roll, Chicken Sandwich, Grilled Chicken Wrap",0,0
Malnad Military Hotel,500,3.8 out of 5,"Chicken Curry, Pepper Chicken, Neer Dosa, Mutton Chops, Fish, Mutton Curry",0,0
Dreams Cafe - All Day English Food St.,600,3.8 out of 5,"English Breakfast, Coffee, Burgers, Fish, Omelette, Sandwiches, Chicken Burger",1,0
Zeeshan,700,3.8 out of 5,"Rolls, Kathi Roll, Mutton Roll, Chicken Roll, Firni, Chicken Tikka, Bengali Style Biryani",1,0
Punjabi Dhaba,350,3.4 out of 5,"Butter Chicken, Paratha",1,0
Oregano Pizzeria,450,3.7 out of 5,"Margherita Pizza, Cheesy Bites",1,0
California Burrito,400,4.1 out of 5,"Nachos, Rice Bowl, California Burrito, Rice Bowls, Chicken Quesadilla, Bbq Chicken, Pink Lemonade",0,0
Stoner,500,4.5 out of 5,"Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake",1,0
La Pino'z Pizza,600,4.1 out of 5,"Fries, White Sauce Pasta, Monster Pizza, Cheesy Garlic Bread, Cheesy Pizza, Margherita Pizza",1,0
Sree Krishna Kafe,200,4.2 out of 5,"Filter Coffee, Lunch Thali, Idli, Mini Idlis, Ghee Masala Dosa, Rasam Vada, Pongal",1,0
Momo Blues,200,NEW,"Momos, Noodles",1,0
Snow'ora,450,4.3 out of 5,"Bingsu, Mocktails, Custard, Chocolate Oreo, Sandwiches, Brownie, Korean Ice Cream",1,1
Ramji Chaiwale,250,3.8 out of 5,"Chai, Ginger Tea, Maggi, Aloo Paratha, Samosa, Coffee, Sandwich",1,0
Khawa Karpo,350,4.3 out of 5,"Momos, Noodles, Thukpa, Chicken Thupka, Manchow Soup, Chicken Momo, Crispy Honey Chicken",0,0
Habibi Falafel,300,4.3 out of 5,"Baklava, Falafel Roll, Falafel Plate, Pita Bread, Mint Lemonade, Pita Pocket, Pomegranate Juice",1,0
Tenzin Kitchen,450,4.2 out of 5,"Momos, Noodles, Thukpa, Teriyaki Chicken, Chicken Chowmein, Clear Chicken Soup, Beef Chilli",1,0
Nutri Rich,350,3.8 out of 5,"Pizza, Spinach Curry, Salad",1,0
Leon Grill,500,4.3 out of 5,"Burgers, Peri Peri Chicken, Spicy Chicken, Grilled Lamb Burger, Chicken Burger, French Fries",1,0
Gods Own Cafe,300,4.4 out of 5,"Appam, Buttermilk, Fry Prawns, Roast Beef, Masala Prawn, Chicken Stew, Murgh Ghee Roast",1,0
IDC Kitchen,200,4.2 out of 5,"Masala Idli, Filter Coffee",0,0
Tibetan Kitchen,600,4.3 out of 5,"Noodles, Pasta, Tibetan Momos, Clear Soup, Thukpa, Steak, Chicken Momo",1,0
30 Square,400,4.2 out of 5,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo",1,0
Sagar Fast Food,250,4.0 out of 5,Neer Dosa,1,0
Arya Hungry?,450,4.3 out of 5,"Chole, Kulcha, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",1,0
Burger King,600,3.9 out of 5,"Burgers, Chicken Crisp Burger, Chicken Whopper, Chicken Keema Burger, Chicken Fries, Mutton Whopper, Chocolate Shake",1,0
Atta Galata,200,4.1 out of 5,"Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries",0,0
The Wok Shop,500,4.1 out of 5,"Momos, Rice Noodles, Kung Pao Chicken, Rice Bowl, Noodle, Thai Green Curry, Chicken Dim Sum",1,0
Sonar Bangala,500,3.8 out of 5,"Kosha Mangsho, Daab Chingri, Fish Curry, Dum Biryani",1,0
Smoor,900,4.2 out of 5,"Hot Chocolate, Sandwich, Sushi, Red Velvet, Pumpkin Ravioli, Cajun Fries, Gooey Chocolate Cake",1,0
Faasos,500,4.0 out of 5,"Rolls, Bbq Chicken, Paneer Makhanwala, Jumbo Chicken Roll, Veggie Wrap, Sabudana Vada, Chicken Wrap",1,0
Momo Hut,250,4.0 out of 5,"Noodles, Beef Momos, Chicken Shaptra, Chicken Thukpa, Clear Soup, Beef Momo, Chicken Thupka",1,0
Banchharam,200,3.9 out of 5,"Mishti Doi, Rasgulla, Radhaballavi, Rasmalai, Chamcham, Dum Aloo, Malai Roll",0,0
Savitha Family Restaurant,500,4.0 out of 5,"Butter Naan, Tandoori Chicken, Chicken Tikka Masala, Malai Kofta, Biryani, Wheat Paratha, Noodles",1,0
Chaska Bun,300,4.2 out of 5,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",1,0
Rang De Basanthi,400,3.7 out of 5,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken",1,0
Crown Gold,400,3.9 out of 5,Sea Food,1,0
Subway,600,3.7 out of 5,"Salads, Chicken Tikka, Veg Shammi, Teriyaki Chicken, Sandwich, Veggie Delight, Aloo Patty",1,0
Under The Hood,300,4.0 out of 5,"Appam, Chicken Curry, Passion Fruit Juice, Crepe",1,0
Sagar Fast Food,300,4.0 out of 5,"Tea, Coffee, Neer Dosa, Gajar Ka Halwa, Thali, Chaat, Cheese Dosa",1,0
Desi Flavours,400,3.9 out of 5,"Chicken Biryani, Thali, Rolls, Ambur Biryani, Palak Paneer, Salad, Bhatti Ka Murgh",1,0
Lucknowiz,500,3.5 out of 5,"Tikki, Chicken Tikka, Chicken Biryani, Thali, Shammi Kebab Roll, Rumali Roti, Nihari",1,0
Paisa Vasool,400,3.3 out of 5,"Fish Thali, Aloo Paratha",1,0
Laziz Pizza,400,3.8 out of 5,"Pizza, Peri Peri Fries, Veg Paprika",1,0
Royal Calcutta Restaurant,450,4.0 out of 5,"Plain Paratha, Prawn, Chicken Biryani, Chicken Dak Bunglow, Chicken Masala, Roti, Aloo Posto",1,0
Dosa Plaza,200,3.8 out of 5,Masala Dosa,1,0
Gundappa Donne Biryani,200,3.1 out of 5,"Thali, Chicken Lollipop, Gundappa Donne Biryani, Mutton Biryani",0,0
McDonald's,500,3.9 out of 5,"Burgers, Wedges, Ice Tea, Maharaja Burger, Maharaja Mac, French Fries, Hash Brown",1,0
Mountain Spice,400,3.9 out of 5,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa",1,0
Little Kolkata,500,3.9 out of 5,"Chicken Curry, Fish, Thali, Rolls, Rasgulla, Chicken Biryani",1,0
Chapati House,300,3.9 out of 5,Naan,1,0
Lakeview Milkbar,500,3.8 out of 5,"Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes",0,0
Chowpatty,300,3.6 out of 5,"Pav Bhaji, Dabeli, Paratha, Raj Kachori, Vada Pav",1,0
Yummy Biryani,200,3.8 out of 5,"Biryani, Paratha, Chicken Masala, Kerala Parotta",1,0
Ghee Positive,300,3.8 out of 5,"Paratha, Mutton Curry",1,0
Friend's Cafe,600,3.9 out of 5,"Coffee, Burgers, Pasta, Beef Steak, Chicken Lasagne, Salads, Sandwiches",1,0
Min Mini Punjabi Dhaba,400,3.9 out of 5,"Dal Makhani, Amritsari Kulcha",1,0
Maa Di Hatti,500,2.8 out of 5,"Saag, Veg Thali",1,0
Rollin,400,4.0 out of 5,"Pizza, Dragon Chicken, Butter Chicken, Noodles, Chicken Wings, Chicken Noodle",1,0
Shiv Sagar,500,3.9 out of 5,"Coffee, Chaat, Bhel Puri, Spring Dosa, Buttermilk, Bread Pakora, Masala Poori",0,0
The Hidden Cafe,350,3.9 out of 5,"Hyderabadi Biryani, Ginger Chicken",1,0
Mangala Hotel,300,3.6 out of 5,"Masala Dosa, Biryani, Chicken Stew, Tea, Appam, Paratha",1,0
Tibbs Frankie,200,3.5 out of 5,"Rolls, Masala Veg Frankie, Chicken Frankie",0,0
Coconadu,400,3.8 out of 5,"Paratha, Fish Fry",0,0
Rolls On Wheels,300,2.6 out of 5,"Rolls, Momos, Masala Fries, Kulfi, French Fries, Egg Roll, Paneer Roll",0,0
Litti Twist,300,4.2 out of 5,"Paratha, Liti Chokha, Buttermilk, Tea, Aloo Litti, Raita",1,0
Pizza Stop,600,3.9 out of 5,"Garlic Bread, Pasta, Veggie Pizza, Salsa, Nachos, Nawabi Pizza, Sicilian Pizza",1,0
Ghar Ka Khana,150,3.7 out of 5,Thali,1,0
Meat And Eat,500,3.6 out of 5,"Burgers, Fries, Chicken Wings, Popcorn, Chicken Grill",1,0
Kinpeetos,300,3.9 out of 5,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich",1,0
Little Kitchen,400,3.6 out of 5,"Chicken Curry, Red Rice, Fish Curry",1,0
Udupi Grand,300,2.8 out of 5,"Idli, Vada, Coffee, Masala Dosa, Masala Poori",0,0
Natuna Seafood House,450,4.1 out of 5,"Sea Food, Thali, Red Snapper, Fish Fry, Neer Dosa",1,0
Delhi Food Point,250,3.3 out of 5,"Jeera Rice, Corn Paratha, Paneer Bhurji, Gobhi Matar, Vegetarian, Sweet Lassi, Dal Fry",1,0
Daily Bread,600,2.7 out of 5,"Sandwiches, Sandwich, Coffee",0,0
Food And You,300,3.8 out of 5,"Thali, Thepla, Gulab Jamun, Masala Lassi, Rice, Gujarati Food, Roti",0,0
Burger Lounge,600,3.5 out of 5,"Burgers, Zinger Burger",1,0
FNC Seafood,400,3.8 out of 5,"Sea Food Platter, Fish N Chips, Fish Fingers, Fries, Prawn Noodles",0,0
Malabar Coastal Cuisine,550,3.6 out of 5,"Paratha, Sea Food, Appam, Malabari Biryani",0,0
Chai Chowk,200,3.8 out of 5,"Chai, Lemon Tea, Ginger Tea, Rolls",0,0
Udupi Upahara,300,3.6 out of 5,"Filter Coffee, Masala Dosa",0,0
Falafel's - The Lebanese Haus,300,2.9 out of 5,"Falafel, Shawarma, Chicken Shawarama, Salad, Whole Wheat Pita, Middle Eastern Food, Pizza",0,0
Aaharam,350,4.0 out of 5,"Chicken Noodle, Noodles, Paneer Lababdar, Paratha",0,0
WOW! Momo,400,3.8 out of 5,"Chocolate Momos, Thukpa, Tandoori Momos, Paneer Momos",1,0
Tapri By The Corner,250,4.1 out of 5,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",1,0
Calvin's,800,3.8 out of 5,"Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",1,0
Pathaan Sir,300,3.8 out of 5,"Rolls, Momos, Chicken Egg Roll, Fries, Cheese Roll, Veggie Roll",1,0
Hotel Feast Ambur Biriyani,250,3.4 out of 5,"Chicken Biryani, Chicken Kebab",1,0
Khan Saheb Grills and Rolls,350,3.8 out of 5,"Rolls, Veggie Roll, Chicken Tikka Roll, Beda Roti",1,0
Dhang Ka Khana,200,3.7 out of 5,Panneer Butter Masala,1,0
Chaiwala,100,3.1 out of 5,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",1,0
Hammered,"1,200",4.3 out of 5,"Cocktails, Pizza, Nachos, Andhra Chilli Chicken, Bruschettas, Beer, Ravioli",0,0
Pin Me Down,800,4.5 out of 5,"Paneer Tikka, Pasta, Chilli Chicken, Pizza, Mocktails, Tandoori Aloo, Chowmein",1,1
Murphy's Brewhouse - The Paul Bangalore,"1,700",4.3 out of 5,"Chicken Bruschetta, Tandoori Chicken, Veggie Pizza, Barbeque Chicken Pizza, Nachos, Wheat Beer, Stout",0,1
Mudpipe Cafe,900,4.5 out of 5,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta",1,1
Loveshack,"1,600",4.0 out of 5,"Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos",0,1
Malabar Bay,800,4.2 out of 5,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta",1,1
Savoury - Sea Shell Restaurant,700,3.9 out of 5,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup",1,0
Sidewalk Cafe & Bar - The Paul Bangalore,"1,500",4.2 out of 5,"Beer, Mocktails, Vada, Pancakes, Waffles, Pasta, Appam",1,1
Vembanad - The Paul,"1,800",4.2 out of 5,"Fish Curry, Appam, Kerala Parotta, Paratha, Beer, Kadala Curry, Sea Food",0,1
Jose's Mess,300,4.4 out of 5,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry",0,0
Dadi's Dum Biryani,800,4.1 out of 5,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab",1,1
Savoury Restaurant,800,3.9 out of 5,"Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam",1,0
Grillopia,"1,000",3.9 out of 5,"Burgers, Wood Fire Pizza, Nachos",1,0
Lounge 189,"1,300",3.8 out of 5,"Cocktails, Watermelon Mojito, Orange Mojito, Steak, Fish, Long Island Iced Tea, Sauteed Vegetables",0,0
El Salver,900,3.9 out of 5,Fish Curry,1,1
Muthashy's,400,4.2 out of 5,"Fish, Appam, Egg Roast, Kadala Curry, Chicken Curry, Beef Fry, Ghee Rice",1,0
Kannur Food Point,200,4.0 out of 5,"Roast Chicken, Thalassery Biryani",0,0
Royal Paris,"1,000",3.8 out of 5,"Butter Chicken, Chicken Biryani",1,0
Mecaf Family Restaurant,600,3.9 out of 5,"Biryani, Masala Papad, Chicken Grill, Dragon Chicken, Paratha, Roti, Chicken Curry",1,0
Hyderabadi Biryani Hub,600,3.6 out of 5,"Biryani, Raita",1,0
Aaranya Restaurant,800,3.4 out of 5,"Murgh Makhani, Chicken Biryani, Naan, Beer, Tandoori Chicken",1,0
Ashirvaad Grand,400,4.0 out of 5,"Masala Dosa, Panneer Butter Masala",1,0
New Tasty Cafeteria,500,3.8 out of 5,"Shawarma, Chicken Grill, Faluda",1,0
Fogg,"1,000",NEW,"Pizza, Mocktails",0,1
Donne Biriyani House,200,3.8 out of 5,"Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab, Chicken Fries",1,0
Anda Ka Funda,250,3.2 out of 5,"Paratha, Rolls, Roti",1,0
Ambur Star Briyani,400,3.7 out of 5,"Mutton Biryani, Ambur Biryani, Chicken Biryani",1,0
Kabab Magic,500,3.8 out of 5,"Chicken Grill, Biryani, Shawarma Roll, Rolls, Arabian Pulpy Grape Juice",1,0
Bakers Town,600,3.6 out of 5,"Fries, Pasta, Sandwich, Burgers, Chicken Burger, Monster Burger",1,0
Chaatimes,200,3.4 out of 5,"Chaat, Dabeli, Panipuri",1,0
Kairali,300,3.9 out of 5,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani",1,0
Indori Chatorey,300,2.8 out of 5,"Kachori, Indori Poha, Cheese Paratha, Paneer Parantha, Thali, Poha Jalebi",1,0
The Biriyani Pedia,300,4.0 out of 5,"Chicken Stew, Ghee Rice, Chai, Beef Biryani",1,0
Royal Biryani Kitchen,600,3.9 out of 5,"Mutton Biryani, Dragon Chicken, Chicken Dum Biryani, Vegetable Biryani, Paneer Biryani",1,0
Tasty Magic,600,2.7 out of 5,"Shawarma, Chicken Grill, Biryani",1,0
Masala Dani - The Paul,"1,800",3.7 out of 5,"Dal Makhani, Kulfi, Rice, Lahori Chicken, Tandoori Roti",0,0
Kapoor's Biriyani,400,3.3 out of 5,"Raita, Hyderabadi Biryani",1,0
Eat N Drink,250,3.8 out of 5,"Sandwiches, Fruit Juices, Burgers, Chicken Sandwich, Omelette, French Fries, Oreo Shake",0,0
Aroma Fine Dine,900,4.0 out of 5,"Chicken Biryani, Dal Makhani, Bamboo Biryani, Garlic Naan",1,1
New Royal Treat,350,2.8 out of 5,"Roti, Chicken Biryani",1,0
Fillers,300,3.9 out of 5,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal",1,0
Melt,"1,000",4.0 out of 5,"Burgers, Nachos, Fries, White Sauce Pasta, Cheese Pasta, Chicken Burger, Chicken Steak",0,0
Avanti Indian Barbeque & Grill,"1,100",3.4 out of 5,Garlic Naan,0,0
Habitts,350,3.7 out of 5,Nutella Waffle,1,0
Dash In,600,3.1 out of 5,"Butter Chicken, Noodles",0,0
De Street Cafe,500,3.6 out of 5,"Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries",0,0
Sri Vishnupriya,300,3.0 out of 5,"Masala Dosa, Plain Dosa",0,0
Pout,400,4.0 out of 5,"Shawarma, Chicken Grill",0,0
Food Junction,400,3.5 out of 5,Paratha,0,0
New Farm Fresh,650,3.6 out of 5,Wood Fire Pizza,0,0
Bamboo Heights,500,3.7 out of 5,Friendly Staff,0,0
Chettayees,400,3.4 out of 5,"Puttu Biryani, Egg Roast",1,0
Dum Biryani Hub,700,3.9 out of 5,"Dum Biryani, Mutton Biryani",1,0
New Punjabi Hotel,400,3.7 out of 5,"Tandoori Chicken, Butter Chicken, Tandoori Roti, Bhindi Masala, Paratha, Dal Makhani",1,0
The 90s Hash House,500,3.8 out of 5,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",0,0
Odissi Restaurant,200,2.9 out of 5,"Egg Tadka, Roti, Veg Thali",1,0
Krishna Sagar,300,3.9 out of 5,Masala Dosa,1,0
Biergarten,"2,100",4.8 out of 5,"Penne Arrabiata Pasta, Craft Beer, Bruschettas, Cocktails, Peri Peri Chicken, Pizza, Mocktails",0,1
Bombay Adda,"1,100",4.4 out of 5,"Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa",0,1
Banana Beach Bar,"1,300",3.7 out of 5,"Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll",1,1
The Bier Library,"2,000",4.3 out of 5,"Beer, Pizza, Mocktails, Pasta, Rasmalai, Cocktails, Brownie",1,1
The Old Fashioned Bar,"1,000",4.5 out of 5,"Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka",0,1
Barleyz,"2,000",3.8 out of 5,"Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea",0,0
The Local - Terrace Drinkery,"1,000",4.0 out of 5,"Beer, Burgers, Sandwiches, Virgin Mojito, Beef Chilli, Pork Chilli, Nachos",0,0
Gorilla Barfare,"1,400",4.2 out of 5,"Cocktails, Dessert Pizza, Nachos, Beef Chilli, Long Island Iced Tea, Beer, Salsa",0,0
Jimi's Beer Cafe,"1,700",3.8 out of 5,"Beer, Steak, Chilli Chicken, Burgers, Tandoori Chicken, Masala Peanuts, Fries",0,0
